Mês;Ano;"ID do adolescente";"ID da movimentação";"Nome social";Nome;Unidade;Medida;"Data da admissão";"Data do desligamento";"Adolescente matriculado?";"Data da matrícula";"Ano que o adolescente está matriculado";"Modalidade de ensino";"Situação da atividade educacional";Turno;"Participação da família nos encaminhamentos de ensino";"Número de dias letivos previstos no mês";"Número de dias frequentados pelo adolescente no mês";"Nome da escola";Observações
5;2026;28316;98759;;"GABRIEL MARTINS FERREIRA";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;01/09/2025;11/05/2026;SIM;16/01/2026;"1º ANO ENSINO FUND.";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;6;6;"Escola Estadual Jovem Protagonista";
5;2026;28833;99458;;"MARCOS HENRIQUE PEREIRA DOS SANTOS";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;03/10/2025;28/05/2026;NAO;;"NAO ESTA FREQUENTANDO A ESCOLA";"NAO SE APLICA";"ENSINO MEDIO COMPLETO";"NAO SE APLICA";"NAO SE APLICA";;;;
5;2026;32087;99576;;"GABRIEL VINICIUS FERREIRA FELIPE";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;08/10/2025;;SIM;16/01/2026;"7º ANO ENSINO FUND.";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;20;20;"Escola Estadual Jovem Protagonista";
5;2026;29408;99681;;"JOAO HEBERT GOMES DE SOUZA";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;14/10/2025;;SIM;16/01/2026;"2º ANO ENSINO MEDIO";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;20;20;"Escola Estadual Jovem Protagonista";
5;2026;30778;99779;;"MATHEUS LUCAS DOS REIS";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;20/10/2025;08/05/2026;SIM;16/01/2026;"7º ANO ENSINO FUND.";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;5;5;"Escola Estadual Jovem Protaganista";
5;2026;32708;99780;;"DANIEL MARIANO DA SILVA";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;20/10/2025;;SIM;16/01/2026;"8º ANO ENSINO FUND.";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;20;20;"Escola Estadual Jovem Protaganista";
5;2026;30721;100498;;"CHRISTOPHER DIAS BARBOSA";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;25/11/2025;25/05/2026;SIM;16/01/2026;"1º ANO ENSINO FUND.";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;16;16;"Escola Estadual Jovem Protagonista";
5;2026;30764;100648;;"LUIZ FERNANDO GONCALVES RODRIGUES";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;03/12/2025;;SIM;16/01/2026;"2º ANO ENSINO MEDIO";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;20;20;"Escola Estadual Jovem Protaganista";
5;2026;33002;100658;;"LUIZ OTAVIO ALMEIDA DA SILVA";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;04/12/2025;11/05/2026;SIM;16/01/2026;"7º ANO ENSINO FUND.";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;10;9;"E.E. Jovem Protagonista";
5;2026;29772;100716;;"RODRIGO ARTUR RODRIGUES GONCALVES";"CENTRO SOCIOEDUCATIVO SANTA CLARA";INTERNACAO;05/12/2025;18/05/2026;SIM;16/01/2026;"1º ANO ENSINO MEDIO";"ENSINO REGULAR";"PERIODO LETIVO REGULAR";MANHA;SIM;11;11;"Escola Estadual Jovem Protagonista";
